circuit,inputs,outputs,abc_map,primitive,naive_steps,opt_steps,cells,status,seconds
c1355,41,32,388 IMPLY + 132 INV,520 IMPLY + 132 ZERO,2732,960,119,PASS,0.9
c17,5,2,6 IMPLY + 4 INV,10 IMPLY + 4 ZERO,54,20,7,PASS,0.3
c1908,33,25,355 IMPLY + 141 INV,496 IMPLY + 141 ZERO,2621,958,152,PASS,0.9
c2670,233,140,533 IMPLY + 208 INV + 89 BUF + consts,741 IMPLY + 209 ZERO + 89 BUF,3914,1358,282,PASS,1.3
c3540,50,22,922 IMPLY + 263 INV,1185 IMPLY + 263 ZERO,6188,2174,236,PASS,1.8
c432,36,7,121 IMPLY + 61 INV,182 IMPLY + 61 ZERO,971,336,56,PASS,0.5
c499,41,32,387 IMPLY + 161 INV,548 IMPLY + 161 ZERO,2901,1013,133,PASS,0.9
c5315,178,123,1315 IMPLY + 405 INV + 21 BUF,1720 IMPLY + 405 ZERO + 21 BUF,9005,3142,483,PASS,2.8
c6288,32,32,1870 IMPLY + 512 INV,2382 IMPLY + 512 ZERO,12422,4930,724,PASS,4.2
c7552,207,108,1386 IMPLY + 514 INV + 54 BUF,1900 IMPLY + 514 ZERO + 54 BUF,10014,3583,564,PASS,3.5
c880,60,26,306 IMPLY + 95 INV,401 IMPLY + 95 ZERO,2100,716,131,PASS,0.7
